Event ID,Family Name,Given or Other Name,Country,Title,Citation,Notes,
1URCong,Agbebi,Mohjola,Nigeria,director of the Niger Delta mission,Geiss The Pan-African Movement 216,,formerly Baptist leader D.B. Vincent
1URCong,Ali,DusÌ© Mohamed,Sudan & Egypt,actor,"Adi & Sherwood Pan-African History, 2",in charge of publicity & entertainments,
1URCong,Becker,C.H.,Germany,(later) Prussian minister of education in the Weimar Republic,Geiss The Pan-African Movement 216,,
1URCong,Besant,Annie,United Kingdom,theosophist,Geiss The Pan-African Movement 217,,
1URCong,Brentano,Luju,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Broadhurst,Robert,,future secretary of the African Progress Union in London,Geiss The Pan-African Movement 235,,
1URCong,Cohen,Hermann,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Du Bois,W.E.B,United States,,Geiss The Pan-African Movement 216,,
1URCong,Erzberger,Matthias,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Eucken,Rudolf,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Firmin,AntÌ©nor,,,"Adi, Pan-Africanism 90",,
1URCong,Haeckel,Ernst,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Hobson,John,,,Geiss The Pan-African Movement 217,,
1URCong,Jabavu,"Tengo
",South Africa,Journalist,"Geiss The Pan-African Movement 216; Adi, Pan-Africanism 90",,
1URCong,Jellinek,Georg,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Karamchand Gandhi,Mohandas,India and South Africa,lawyer in Johannesburg; leader of the Indian minority in South Africa,Geiss The Pan-African Movement 216,,
1URCong,Kaufmann,Wilhem,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Legitime,FranÌ¤ois,Haiti,former President of Haiti,"Adi, Pan-Africanism 90",,
1URCong,Liszt,Franz v.,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Luschau,Felix v.,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Meinecke,Friedrich,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Moton,Robert,United States,personal secretary to Booker T. Washington,Geiss The Pan-African Movement 216,,
1URCong,Oncken,Hermann,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Quidde,Ludwig,Germany,,Geiss The Pan-African Movement 216,,
1URCong,SchÌ_cking,Walter,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Simmel,Georg,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Sombart,Werner,Germany,,Geiss The Pan-African Movement 216,,
1URCong,Taylor,John Eldred,Sierra Leone,entreprenuer,"Adi & Sherwood Pan-African History, 2",,
1URCong,ThÌ¦nnies,Ferdinand,Germany,,Geiss The Pan-African Movement 216,,
1URCong,White Ovington,Mary,United States,welfare officer; co-founder NAACP,Geiss The Pan-African Movement 217,,
